frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
145,4650226528745,1789991199665.433,1789991199668.6245,1,1,0.27829999296955066,0.2729999931034399,0.28549999278766336,7,1079,470
146,4650310823493,1789991199698.3132,1789991199701.4827,1,1,0.27819999297207687,0.27269999311101856,0.28539999279018957,6,1094,470
147,4650504278126,1789991199895.5437,1789991199898.5798,1,1,0.2796999929341837,0.27419999307312537,0.28649999276240123,7,1104,468
148,4650583661547,1789991199928.407,1789991199931.4214,1,1,0.2788999929543934,0.2740999930756516,0.2866999927573488,6,1121,467
149,4650707703069,1789991199928.407,1789991200194.0667,1,1,0.2796999929341837,0.2753999930428108,0.28889999270177213,6,1129,467
150,4650729482650,1789991200158.3848,1789991200194.0667,1,1,0.2795999929367099,0.2754999930402846,0.2889999926992459,6,1127,463
151,4650777963863,1789991200191.2292,1789991200194.0667,1,1,0.28009999292407883,0.27519999304786325,0.28859999270935077,6,1138,470
152,4650903716035,1789991200355.4158,1789991200358.142,1,1,0.2820999928735546,0.2770999929998652,0.2893999926891411,7,1135,468
153,4650973769093,1789991200388.246,1789991200390.9504,1,1,0.28139999289123807,0.2764999930150225,0.2893999926891411,7,1151,466
154,4651192212111,1789991200553.0054,1789991200555.626,1,1,0.2819999928760808,0.277199992997339,0.28989999267651,8,1156,469
155,4651239459747,1789991200586.1594,1789991200588.7573,1,1,0.28229999286850216,0.2772999929948128,0.2897999926790362,7,1174,469
156,4651345116547,1789991200784.21,1789991200786.662,1,1,0.28239999286597595,0.2777999929821817,0.29039999266387895,7,1176,466
157,4651422180181,1789991200817.1816,1789991200819.611,1,1,0.2819999928760808,0.27739999299228657,0.2906999926563003,7,1188,466
158,4651619057986,1789991201014.9792,1789991201017.2764,1,1,0.2836999928331352,0.2780999929746031,0.2909999926487217,7,1186,469
159,4651723437550,1789991201047.94,1789991201050.2144,1,1,0.28299999285081867,0.2779999929771293,0.29119999264366925,6,1196,466
160,4651956971191,1789991201311.5679,1789991201313.6655,1,1,0.2850999927977682,0.278599992961972,0.29119999264366925,6,1227,475
161,4652112747840,1789991201542.159,1789991201544.1018,1,1,0.28539999279018957,0.27989999292913126,0.29209999262093334,8,1230,471
162,4652190182042,1789991201575.094,1789991201577.0151,1,1,0.28559999278513715,0.27909999294934096,0.2915999926335644,7,1249,476
163,4652387907926,1789991201773.1917,1789991201774.9858,1,1,0.2852999927927158,0.27919999294681475,0.2914999926360906,7,1252,470
164,4652451524219,1789991201806.222,1789991201807.9944,1,1,0.28489999280282063,0.27919999294681475,0.2915999926335644,7,1269,474
165,4652602092947,1789991202004.3784,1789991202006.0176,1,1,0.2852999927927158,0.27979999293165747,0.29209999262093334,7,1268,472
166,4652668957042,1789991202037.4001,1789991202039.0176,1,1,0.2857999927800847,0.2793999929417623,0.2916999926310382,8,1284,478
167,4652822042122,1789991202235.5059,1789991202236.9912,1,1,0.28569999278261093,0.27989999292913126,0.2916999926310382,7,1283,475
168,4652946893777,1789991202268.5193,1789991202269.982,1,1,0.285199992795242,0.2794999929392361,0.2914999926360906,7,1300,476
169,4653069687942,1789991202499.5793,1789991202500.8875,1,1,0.28619999276997987,0.2803999929165002,0.2922999926158809,7,1298,474
170,4653122142784,1789991202532.5833,1789991202533.8694,1,1,0.2858999927775585,0.28009999292407883,0.2921999926184071,6,1307,469
171,4653262928515,1789991202664.8079,1789991202666.0098,1,1,0.28789999272703426,0.2803999929165002,0.2924999926108285,8,1309,470
172,4653407059768,1789991202697.92,1789991202699.1,1,1,0.28699999274977017,0.27979999293165747,0.2933999925880926,7,1285,470
173,4653479668830,1789991202697.92,1789991202974.8264,1,1,0.29189999262598576,0.2834999928381876,0.29029999266640516,7,1268,473
174,4653568102916,1789991202973.7815,1789991202974.8264,1,1,0.29189999262598576,0.28389999282808276,0.29029999266640516,7,1269,475
175,4653675161758,1789991203008.3,1789991203009.3225,1,1,0.28399999282555655,0.27599999302765355,0.29189999262598576,7,1179,481
176,4653846761912,1789991203250.1519,1789991203251.0142,1,1,0.2828999928533449,0.27599999302765355,0.2901999926689314,7,1172,478
177,4653953841976,1789991203284.734,1789991203285.5735,1,1,0.2819999928760808,0.27509999305038946,0.29049999266135274,7,1142,484
178,4654109135425,1789991203527.0305,1789991203527.7097,1,1,0.2882999927169294,0.27439999306807294,0.2889999926992459,8,1134,480
179,4654196754227,1789991203561.6763,1789991203562.3328,1,1,0.2803999929165002,0.2737999930832302,0.2890999926967197,8,1085,480
180,4654398932415,1789991203768.22,1789991203768.716,1,1,0.28489999280282063,0.2729999931034399,0.28699999274977017,7,1085,480
181,4654494987115,1789991203801.4512,1789991203801.9253,1,1,0.278599992961972,0.27199999312870204,0.2868999927522964,7,1034,478
182,4654584825358,1789991204001.3145,1789991204001.656,1,1,0.28299999285081867,0.27179999313375447,0.2849999928002944,7,1034,478
183,4654704098301,1789991204167.9275,1789991204168.1582,1,1,0.27659999301249627,0.26969999318680493,0.28409999282303033,7,987,470
